id;datum;import;export
1; 2017-01-01; 7182.2; 7672.09
2; 2017-02-01; 7357.33; 8136.3
3; 2017-03-01; 8672.22; 9490.86
4; 2017-04-01; 6950.34; 7765.47
5; 2017-05-01; 8235.47; 9091.72
6; 2017-06-01; 7911.15; 8770.38
7; 2017-07-01; 7289.4; 7571.56
8; 2017-08-01; 7475.92; 7908.12
9; 2017-09-01; 7899.38; 8866.84
10; 2017-10-01; 8350.21; 8875.07
11; 2017-11-01; 8380.32; 9062.06
12; 2017-12-01; 6898.5; 7469.56
13; 2018-01-01; 7848.2; 8455.32
14; 2018-02-01; 7684.73; 8527.03
15; 2018-03-01; 8523.32; 9219.94
16; 2018-04-01; 8072.45; 8555.1
17; 2018-05-01; 8525.07; 9016.24
18; 2018-06-01; 8572.17; 9560.08
19; 2018-07-01; 8113.28; 8370.26
20; 2018-08-01; 7996.62; 7934.59
21; 2018-09-01; 8462.86; 8643.98
22; 2018-10-01; 9236.85; 9450.94
23; 2018-11-01; 9039.04; 9479.52
24; 2018-12-01; 7260.07; 7641.63
25; 2019-01-01; 8593.41; 8977.58
26; 2019-02-01; 8299.41; 9074.34
27; 2019-03-01; 9064.22; 9708.44
28; 2019-04-01; 8713.26; 8942.38
29; 2019-05-01; 8859.18; 9505.85
30; 2019-06-01; 8319.51; 8815.17
31; 2019-07-01; 8881.49; 8996.83
32; 2019-08-01; 8002.9; 8061.78
33; 2019-09-01; 9157.9; 9684.47
34; 2019-10-01; 9712.18; 10142.7
35; 2019-11-01; 9044.06; 9478.21
36; 2019-12-01; 7426.92; 7541.41
37; 2020-01-01; 8802.38; 9225.44
38; 2020-02-01; 8379.8; 9510.52
39; 2020-03-01; 8682.06; 8983.54
40; 2020-04-01; 6181.16; 5619.92
41; 2020-05-01; 6602.09; 6757.55
